learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
16.0,0.020308933,4.6163178802157443E-10,16.0,68.75,9.090909090909092,16.0,87864.0,10.0,16.299999999999997,1.468559384794046,1810.4,8.004443210561938,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,0.040323708,9.174056774708959E-10,32.0,68.75,0.0,32.0,88024.0,10.0,30.900000000000006,1.852625764212033,1826.4,5.600000000000003,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,0.050469206,1.1486896229576733E-9,48.0,72.91666666666666,1.265822784810122,48.0,88120.0,10.0,46.699999999999996,2.0604745947367453,1836.0,2.1499353995462895,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64.0,0.059922309,1.3642479350748988E-9,64.0,75.0,1.5384615384615385,64.0,88144.0,10.0,62.2,2.4666666666666663,1838.3999999999996,1.0666666666666877,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.068485367,1.5595106259650653E-9,80.0,73.75,0.47393364928917336,80.0,88144.0,10.0,80.5,3.4456091220888974,1838.3999999999996,1.0666666666666877,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96.0,0.074727793,1.7018690600287582E-9,96.0,72.91666666666666,0.0,96.0,88152.0,10.0,95.80000000000001,3.946306289852998,1839.2,0.7999999999999992,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.079833916,1.8183246883791352E-9,112.0,73.21428571428571,8.496732026143826,112.0,88160.0,10.0,112.7,4.457328547210512,1840.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128.0,0.084761132,1.930699974931776E-9,128.0,75.0,15.2317880794702,128.0,88160.0,10.0,127.8,4.903060268852505,1840.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144.0,0.089332324,2.034955402517484E-9,144.0,76.38888888888889,22.80037842951747,144.0,88160.0,10.0,143.79999999999998,5.240441033178622,1840.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,0.093617586,2.1326896088528962E-9,160.0,78.125,31.0344827586207,160.0,88160.0,10.0,159.5,6.197221599681227,1840.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
