learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
453.0,0.052779072,6.321248281002045E-10,453.0,83.6644591611479,67.60596045689107,453.0,46296.0,10.0,406.9000000000001,32.99072260163116,2624.0,0.0
906.0,0.083894014,1.0210102308169008E-9,906.0,83.33333333333334,66.71921297309922,906.0,48312.0,10.0,862.6999999999998,30.57560756187485,2624.0,0.0
1359.0,0.105297784,1.294103485122323E-9,1359.0,81.0,60.51882420902582,1359.0,49320.0,10.0,1309.7,33.51021403161199,2624.0,0.0
1812.0,0.123330491,1.5208260911144317E-9,1812.0,79.7,50.662531716943896,1812.0,48600.0,10.0,1592.6,162.72677851062016,2619.2,4.800000000000004
2265.0,0.141162948,1.7258397823241022E-9,2265.0,76.5,41.579491666998145,2265.0,44440.0,10.0,1815.0,252.79425098948224,2623.2000000000003,0.7999999999999957
2718.0,0.15801774,1.929171471711662E-9,2718.0,76.5,48.87214119121385,2718.0,46632.0,10.0,1574.1,365.1628084384644,2624.0,0.0
3171.0,0.173571362,2.1166774357979497E-9,3171.0,78.60000000000001,55.08730691739423,3171.0,46600.0,10.0,1938.6000000000001,398.2486716166727,2620.7999999999993,3.200000000000022
3624.0,0.189051167,2.310149440386643E-9,3624.0,87.7,74.47073474470734,3624.0,48312.0,10.0,2386.7000000000003,399.27793299627484,2624.0,0.0
4077.0,0.204502575,2.4982459327433672E-9,4077.0,85.5,67.63624026855224,4077.0,47056.0,10.0,2195.5,510.9349871667736,2616.0,7.999999999999992
4530.0,0.220581148,2.6891521041219434E-9,4530.0,83.89999999999999,58.54959630911188,4530.0,45896.0,10.0,999.8,279.01381088875627,2617.5999999999995,4.266666666666647
4983.0,0.23559295,2.8735126502191027E-9,4983.0,84.6,64.29631278284738,4983.0,47472.0,10.0,1391.1000000000001,294.53867695469506,2624.0,0.0
5436.0,0.251303865,3.057062080802603E-9,5436.0,81.3,61.008198703887494,5436.0,45160.0,10.0,1074.5000000000002,307.2380636864153,2611.2,8.53333333333332
5889.0,0.266512103,3.244496041525983E-9,5889.0,78.9,56.18770764119603,5889.0,47640.0,10.0,1520.4,308.4447078128879,2624.0,0.0
6342.0,0.281587499,3.4293255868450634E-9,6342.0,80.80000000000001,60.86823601345156,6342.0,47392.0,10.0,1840.6999999999998,365.0490088863259,2582.4,41.599999999999994
6795.0,0.296605551,3.6215954139228495E-9,6795.0,83.7,65.363954713902,6795.0,49488.0,10.0,2290.9,365.61031015124405,2624.0,0.0
7248.0,0.31200232,3.800263821404013E-9,7248.0,80.9,56.995541946233175,7248.0,44856.0,10.0,2203.9,544.2740414737987,2614.3999999999996,4.8880807412862035
7701.0,0.326957287,3.980676531619909E-9,7701.0,82.69999999999999,64.93546504086133,7701.0,46632.0,10.0,1572.1999999999998,465.23482242841624,2624.0,0.0
8154.0,0.341283797,4.1597342528547676E-9,8154.0,83.3,66.44564998995378,8154.0,48312.0,10.0,2031.4,464.0570415129779,2624.0,0.0
8607.0,0.355844579,4.347415516987029E-9,8607.0,87.2,74.02333840690005,8607.0,49824.0,10.0,2475.9,461.58727235486026,2624.0,0.0
9060.0,0.371157829,4.540136939438267E-9,9060.0,87.4,74.82819242448457,9060.0,48648.0,10.0,2495.2999999999997,609.2623600168758,2624.0,0.0
