learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
7.0,0.008306907,7.94615268583099E-11,7.0,28.57142857142857,-52.17391304347827,7.0,36976.0,10.0,7.199999999999999,0.8537498983243798,2600.0,42.66666666666664
14.0,0.023755864,2.2979974740081364E-10,14.0,35.714285714285715,-39.99999999999998,14.0,37616.0,10.0,14.0,1.3416407864998736,2664.0,0.0
21.0,0.032417521,3.178533149096701E-10,21.0,47.61904761904761,0.0,21.0,39296.0,10.0,21.200000000000003,1.830604029032797,2664.0,0.0
28.0,0.039057053,3.8535015520122315E-10,28.0,57.14285714285714,17.6470588235294,28.0,39296.0,10.0,27.4,1.499629583893599,2664.0,0.0
35.0,0.045586297,4.5172581834925546E-10,35.0,60.0,22.222222222222225,35.0,39296.0,10.0,33.4,2.050474199897293,2664.0,0.0
42.0,0.051598797,5.154614478846391E-10,42.0,64.28571428571429,30.46357615894041,42.0,40976.0,10.0,41.599999999999994,1.9731531449264985,2664.0,0.0
49.0,0.056657103,5.690821243574221E-10,49.0,63.26530612244898,27.347611202635917,49.0,40976.0,10.0,47.7,2.1031722072463137,2664.0,0.0
56.0,0.060921661,6.142886588805251E-10,56.0,64.28571428571429,28.934010152284266,56.0,40976.0,10.0,55.2,2.244994432064365,2664.0,0.0
63.0,0.064158493,6.486007628672651E-10,63.0,68.25396825396825,35.97560975609756,63.0,40976.0,10.0,60.900000000000006,2.258071940591993,2664.0,0.0
70.0,0.067441529,6.834026533034112E-10,70.0,70.0,39.704675963904826,70.0,40976.0,10.0,69.2,2.8237091446063154,2664.0,0.0
77.0,0.069996029,7.115919125742381E-10,77.0,70.12987012987013,39.864176570458405,77.0,42656.0,10.0,77.0,3.3499585403736303,2664.0,0.0
