learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.138200802,3.151295450403045E-8,1.0,100.0,?,1.0,881416.0,100.0,1.01,0.10963207522979723,3132.719999999999,230.19623691735077,0.6299999999999999,0.04852365870939098,0.6299999999999999,0.04852365870939098,0.6299999999999999,0.04852365870939098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.322749395,7.880358719337731E-8,2.0,100.0,?,2.0,990528.0,100.0,2.0500000000000007,0.15464197817585437,4223.839999999997,165.43992575658226,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.395162033,9.798143969597915E-8,3.0,100.0,?,3.0,1023736.0,100.0,2.8900000000000006,0.18361961119706582,4555.919999999997,121.65153054872955,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.460844494,1.1644084111854019E-7,4.0,75.0,0.0,4.0,1086352.0,100.0,4.019999999999999,0.20791412368639808,5182.08,76.62033867707646,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.523561867,1.3423385719388308E-7,5.0,80.0,0.0,5.0,1096640.0,100.0,4.939999999999999,0.2196507788432917,5284.960000000001,25.796413187366444,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.58482226,1.5161352578157765E-7,6.0,83.33333333333334,0.0,6.0,1096640.0,100.0,5.849999999999998,0.25,5284.960000000001,25.796413187366444,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.647254352,1.693385281758631E-7,7.0,85.71428571428571,0.0,7.0,1097440.0,100.0,6.920000000000002,0.2676798932540979,5292.959999999999,25.692957491236093,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.710146028,1.873788389610375E-7,8.0,75.0,0.0,8.0,1108800.0,100.0,8.050000000000004,0.3062892935006565,5406.56,15.880108388302721,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.775624748,2.061612364696587E-7,9.0,77.77777777777779,0.0,9.0,1108800.0,100.0,9.019999999999996,0.33694408012504545,5406.56,15.880108388302721,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.836340115,2.2361296533025384E-7,10.0,70.0,0.0,10.0,1111072.0,100.0,9.999999999999998,0.35675303400633784,5429.28,11.802671158032258,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,0.894641655,2.403708755350154E-7,11.0,72.72727272727273,0.0,11.0,1111072.0,100.0,11.049999999999995,0.35827166488376644,5429.28,11.802671158032258,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.949840928,2.562427972857985E-7,12.0,75.0,0.0,12.0,1111472.0,100.0,12.040000000000001,0.3631845678205922,5433.280000000001,11.18655470020175,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,1.001914971,2.71239050366715E-7,13.0,69.23076923076923,0.0,13.0,1113176.0,100.0,13.009999999999998,0.36195177981202253,5450.319999999999,5.680000000000013,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.053550354,2.86116565798817E-7,14.0,64.28571428571429,0.0,14.0,1113744.0,100.0,13.93,0.3657716348883397,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,1.104782942,3.008780253699898E-7,15.0,60.0,0.0,15.0,1113744.0,100.0,14.92,0.38130027404907413,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,1.177667066,3.21877863398987E-7,16.0,62.5,15.789473684210526,16.0,1113744.0,100.0,15.95,0.3993365710396394,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,1.221446445,3.344918569212262E-7,17.0,64.70588235294117,16.39344262295081,17.0,1113744.0,100.0,16.95000000000001,0.4307322869605934,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,1.267089102,3.4764270996863436E-7,18.0,66.66666666666666,27.027027027027025,18.0,1113744.0,100.0,17.949999999999985,0.43978300434315437,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,1.313267531,3.6094793305718444E-7,19.0,68.42105263157895,27.848101265822777,19.0,1113744.0,100.0,18.890000000000008,0.4458325545164537,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,1.35434929,3.7278467112302575E-7,20.0,70.0,35.48387096774192,20.0,1113744.0,100.0,20.0,0.4701171141429559,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,1.394856021,3.844557284589712E-7,21.0,71.42857142857143,36.363636363636374,21.0,1113744.0,100.0,20.89000000000001,0.4933691633180282,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,1.43611564,3.963437126808593E-7,22.0,72.72727272727273,42.10526315789474,22.0,1113744.0,100.0,21.95000000000001,0.5192019906266799,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,1.477803183,4.0835499309121114E-7,23.0,73.91304347826086,46.511627906976734,23.0,1113744.0,100.0,23.05,0.5232715655499841,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.518899643,4.201959669028078E-7,24.0,70.83333333333334,39.130434782608695,24.0,1113744.0,100.0,24.210000000000008,0.5322517441887056,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,1.55954918,4.3190817041305E-7,25.0,72.0,42.99674267100976,25.0,1113744.0,100.0,25.160000000000004,0.5406169315390211,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,1.600491568,4.437047520186732E-7,26.0,73.07692307692307,44.17177914110429,26.0,1113744.0,100.0,26.12000000000001,0.5433305447037565,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,1.641448009,4.5550538266416437E-7,27.0,70.37037037037037,37.93103448275861,27.0,1113744.0,100.0,27.090000000000003,0.5532447902870825,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
